Date,Medicine_Name,Pharmacy_ID,Pharmacy_Name,Location,Address,Stock_Available,Units_Sold,Incoming_Stock,Season,Disease_Trend,Day_of_Week,Supplier_Delay,Demand_Trend,Prescription_Required,Price,Medicine_Type,Criticality_Level,Supplier_Type,Restock_Time,Dosage_Form,Manufacturer,Shortage
2021-07-04,Paracetamol,P003,Wellness Forever,Thane,Thane West,111,65,29,Rainy,Medium,Sunday,1,Increasing,No,20,Common,Low,Local,4,Tablet,Sun Pharma,0
2021-07-05,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,93,68,24,Rainy,Medium,Monday,0,Decreasing,No,30,Common,Low,Local,3,Tablet,Cipla,0
2021-07-06,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,165,68,13,Rainy,Medium,Tuesday,0,Decreasing,No,25,Common,Low,Local,3,Tablet,GSK,0
2021-07-07,Cetirizine,P002,MedPlus,Dadar,Dadar East,115,45,23,Rainy,Medium,Wednesday,3,Decreasing,No,15,Common,Low,Regional,5,Syrup,Dr. Reddy's,0
2021-07-08,Azithromycin,P003,Wellness Forever,Thane,Thane West,122,46,54,Rainy,Medium,Thursday,1,Stable,Yes,90,Rare,High,Imported,14,Capsule,Pfizer,0
2021-07-09,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,156,46,53,Rainy,Medium,Friday,1,Decreasing,Yes,80,Critical,High,National,8,Capsule,Abbott,0
2021-07-10,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,139,53,24,Rainy,Medium,Saturday,2,Increasing,Yes,45,Chronic,Medium,National,5,Tablet,Sun Pharma,0
2021-07-11,Amlodipine,P002,MedPlus,Dadar,Dadar East,163,58,52,Rainy,Medium,Sunday,3,Stable,Yes,35,Chronic,Medium,National,8,Tablet,Cipla,0
2021-07-12,Insulin,P003,Wellness Forever,Thane,Thane West,112,61,45,Rainy,Medium,Monday,2,Increasing,Yes,95,Chronic,High,National,7,Injection,Novo Nordisk,0
2021-07-13,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,79,88,4,Rainy,Medium,Tuesday,0,Increasing,Yes,50,Chronic,Medium,National,7,Tablet,Lupin,1
2021-07-14,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,139,57,12,Rainy,Medium,Wednesday,3,Decreasing,No,20,Common,Low,Regional,4,Tablet,Sun Pharma,0
2021-07-15,Ibuprofen,P002,MedPlus,Dadar,Dadar East,172,54,36,Rainy,Medium,Thursday,1,Decreasing,No,30,Common,Low,Regional,3,Tablet,Cipla,0
2021-07-16,Crocin,P003,Wellness Forever,Thane,Thane West,98,62,56,Rainy,Medium,Friday,2,Stable,No,25,Common,Low,Regional,4,Tablet,GSK,0
2021-07-17,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,103,62,2,Rainy,Medium,Saturday,3,Decreasing,No,15,Common,Low,Local,2,Syrup,Dr. Reddy's,0
2021-07-18,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,169,45,44,Rainy,Medium,Sunday,2,Stable,Yes,90,Rare,High,Imported,13,Capsule,Pfizer,0
2021-07-19,Amoxicillin,P002,MedPlus,Dadar,Dadar East,157,58,20,Rainy,Medium,Monday,0,Stable,Yes,80,Critical,High,National,15,Capsule,Abbott,0
2021-07-20,Metformin,P003,Wellness Forever,Thane,Thane West,97,63,11,Rainy,Medium,Tuesday,0,Increasing,Yes,45,Chronic,Medium,National,6,Tablet,Sun Pharma,0
2021-07-21,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,95,51,42,Rainy,Medium,Wednesday,3,Decreasing,Yes,35,Chronic,Medium,National,8,Tablet,Cipla,0
2021-07-22,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,130,66,10,Rainy,Medium,Thursday,2,Decreasing,Yes,95,Chronic,High,National,5,Injection,Novo Nordisk,0
2021-07-23,Glimepiride,P002,MedPlus,Dadar,Dadar East,163,74,55,Rainy,Medium,Friday,0,Increasing,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
2021-07-24,Paracetamol,P003,Wellness Forever,Thane,Thane West,99,55,12,Rainy,Medium,Saturday,1,Increasing,No,20,Common,Low,Local,2,Tablet,Sun Pharma,0
2021-07-25,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,178,44,27,Rainy,Medium,Sunday,0,Decreasing,No,30,Common,Low,Regional,3,Tablet,Cipla,0
2021-07-26,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,166,48,20,Rainy,Medium,Monday,3,Increasing,No,25,Common,Low,Regional,5,Tablet,GSK,0
2021-07-27,Cetirizine,P002,MedPlus,Dadar,Dadar East,142,55,14,Rainy,Medium,Tuesday,0,Stable,No,15,Common,Low,Regional,3,Syrup,Dr. Reddy's,0
2021-07-28,Azithromycin,P003,Wellness Forever,Thane,Thane West,122,45,51,Rainy,Medium,Wednesday,1,Increasing,Yes,90,Rare,High,Imported,12,Capsule,Pfizer,0
2021-07-29,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,132,39,7,Rainy,Medium,Thursday,2,Decreasing,Yes,80,Critical,High,National,12,Capsule,Abbott,0
2021-07-30,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,151,40,42,Rainy,Medium,Friday,2,Decreasing,Yes,45,Chronic,Medium,National,7,Tablet,Sun Pharma,0
2021-07-31,Amlodipine,P002,MedPlus,Dadar,Dadar East,150,41,7,Rainy,Medium,Saturday,2,Increasing,Yes,35,Chronic,Medium,National,8,Tablet,Cipla,0
2021-08-01,Insulin,P003,Wellness Forever,Thane,Thane West,80,84,12,Rainy,Medium,Sunday,1,Stable,Yes,95,Chronic,High,National,8,Injection,Novo Nordisk,0
2021-08-02,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,155,81,54,Rainy,Medium,Monday,0,Increasing,Yes,50,Chronic,Medium,National,8,Tablet,Lupin,0
2021-08-03,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,140,67,14,Rainy,Medium,Tuesday,0,Decreasing,No,20,Common,Low,Regional,2,Tablet,Sun Pharma,0
2021-08-04,Ibuprofen,P002,MedPlus,Dadar,Dadar East,107,44,38,Rainy,Medium,Wednesday,3,Stable,No,30,Common,Low,Regional,3,Tablet,Cipla,0
2021-08-05,Crocin,P003,Wellness Forever,Thane,Thane West,171,59,58,Rainy,Medium,Thursday,1,Decreasing,No,25,Common,Low,Regional,2,Tablet,GSK,0
2021-08-06,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,124,50,42,Rainy,Medium,Friday,1,Increasing,No,15,Common,Low,Regional,5,Syrup,Dr. Reddy's,0
2021-08-07,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,121,43,0,Rainy,Medium,Saturday,1,Stable,Yes,90,Rare,High,Imported,12,Capsule,Pfizer,0
2021-08-08,Amoxicillin,P002,MedPlus,Dadar,Dadar East,136,32,52,Rainy,Medium,Sunday,0,Decreasing,Yes,80,Critical,High,National,12,Capsule,Abbott,0
2021-08-09,Metformin,P003,Wellness Forever,Thane,Thane West,159,60,10,Rainy,Medium,Monday,0,Increasing,Yes,45,Chronic,Medium,National,8,Tablet,Sun Pharma,0
2021-08-10,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,147,41,59,Rainy,Medium,Tuesday,0,Decreasing,Yes,35,Chronic,Medium,National,7,Tablet,Cipla,0
2021-08-11,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,117,91,0,Rainy,Medium,Wednesday,2,Decreasing,Yes,95,Chronic,High,National,6,Injection,Novo Nordisk,0
2021-08-12,Glimepiride,P002,MedPlus,Dadar,Dadar East,131,98,28,Rainy,Medium,Thursday,3,Stable,Yes,50,Chronic,Medium,National,7,Tablet,Lupin,0
2021-08-13,Paracetamol,P003,Wellness Forever,Thane,Thane West,135,43,49,Rainy,Medium,Friday,0,Decreasing,No,20,Common,Low,Regional,5,Tablet,Sun Pharma,0
2021-08-14,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,117,47,1,Rainy,Medium,Saturday,3,Increasing,No,30,Common,Low,Regional,2,Tablet,Cipla,0
2021-08-15,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,132,51,38,Rainy,Medium,Sunday,3,Decreasing,No,25,Common,Low,Local,5,Tablet,GSK,0
2021-08-16,Cetirizine,P002,MedPlus,Dadar,Dadar East,157,46,17,Rainy,Medium,Monday,2,Increasing,No,15,Common,Low,Regional,5,Syrup,Dr. Reddy's,0
2021-08-17,Azithromycin,P003,Wellness Forever,Thane,Thane West,166,56,9,Rainy,Medium,Tuesday,0,Increasing,Yes,90,Rare,High,Imported,8,Capsule,Pfizer,0
2021-08-18,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,124,58,23,Rainy,Medium,Wednesday,0,Increasing,Yes,80,Critical,High,National,12,Capsule,Abbott,0
2021-08-19,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,176,49,52,Rainy,Medium,Thursday,0,Increasing,Yes,45,Chronic,Medium,National,6,Tablet,Sun Pharma,0
2021-08-20,Amlodipine,P002,MedPlus,Dadar,Dadar East,128,64,39,Rainy,Medium,Friday,2,Stable,Yes,35,Chronic,Medium,National,8,Tablet,Cipla,0
2021-08-21,Insulin,P003,Wellness Forever,Thane,Thane West,126,82,12,Rainy,Medium,Saturday,0,Stable,Yes,95,Chronic,High,National,6,Injection,Novo Nordisk,0
2021-08-22,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,111,87,3,Rainy,Medium,Sunday,1,Stable,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
2021-08-23,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,98,68,7,Rainy,Medium,Monday,3,Stable,No,20,Common,Low,Regional,5,Tablet,Sun Pharma,0
2021-08-24,Ibuprofen,P002,MedPlus,Dadar,Dadar East,170,54,0,Rainy,Medium,Tuesday,1,Stable,No,30,Common,Low,Regional,3,Tablet,Cipla,0
2021-08-25,Crocin,P003,Wellness Forever,Thane,Thane West,136,46,59,Rainy,Medium,Wednesday,1,Decreasing,No,25,Common,Low,Local,4,Tablet,GSK,0
2021-08-26,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,167,48,42,Rainy,Medium,Thursday,0,Increasing,No,15,Common,Low,Local,2,Syrup,Dr. Reddy's,0
2021-08-27,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,170,41,15,Rainy,Medium,Friday,1,Increasing,Yes,90,Rare,High,Imported,15,Capsule,Pfizer,0
2021-08-28,Amoxicillin,P002,MedPlus,Dadar,Dadar East,162,37,34,Rainy,Medium,Saturday,2,Stable,Yes,80,Critical,High,National,14,Capsule,Abbott,0
2021-08-29,Metformin,P003,Wellness Forever,Thane,Thane West,104,70,37,Rainy,Medium,Sunday,1,Increasing,Yes,45,Chronic,Medium,National,7,Tablet,Sun Pharma,0
2021-08-30,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,176,41,52,Rainy,Medium,Monday,2,Stable,Yes,35,Chronic,Medium,National,8,Tablet,Cipla,0
2021-08-31,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,100,85,60,Rainy,Medium,Tuesday,0,Decreasing,Yes,95,Chronic,High,National,8,Injection,Novo Nordisk,0
2021-09-01,Glimepiride,P002,MedPlus,Dadar,Dadar East,121,62,16,Normal,Low,Wednesday,0,Decreasing,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
2021-09-02,Paracetamol,P003,Wellness Forever,Thane,Thane West,160,16,35,Normal,Low,Thursday,3,Increasing,No,20,Common,Low,Local,3,Tablet,Sun Pharma,0
2021-09-03,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,185,16,44,Normal,Low,Friday,3,Increasing,No,30,Common,Low,Local,4,Tablet,Cipla,0
2021-09-04,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,161,30,47,Normal,Low,Saturday,1,Stable,No,25,Common,Low,Local,3,Tablet,GSK,0
2021-09-05,Cetirizine,P002,MedPlus,Dadar,Dadar East,129,12,51,Normal,Low,Sunday,2,Increasing,No,15,Common,Low,Regional,5,Syrup,Dr. Reddy's,0
2021-09-06,Azithromycin,P003,Wellness Forever,Thane,Thane West,140,13,3,Normal,Low,Monday,2,Increasing,Yes,90,Rare,High,Imported,15,Capsule,Pfizer,0
2021-09-07,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,166,13,35,Normal,Low,Tuesday,2,Increasing,Yes,80,Critical,High,National,8,Capsule,Abbott,0
2021-09-08,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,144,10,0,Normal,Low,Wednesday,1,Increasing,Yes,45,Chronic,Medium,National,8,Tablet,Sun Pharma,0
2021-09-09,Amlodipine,P002,MedPlus,Dadar,Dadar East,130,30,53,Normal,Low,Thursday,1,Decreasing,Yes,35,Chronic,Medium,National,5,Tablet,Cipla,0
2021-09-10,Insulin,P003,Wellness Forever,Thane,Thane West,150,56,33,Normal,Low,Friday,3,Stable,Yes,95,Chronic,High,National,8,Injection,Novo Nordisk,0
2021-09-11,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,78,99,4,Normal,Low,Saturday,3,Increasing,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,1
2021-09-12,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,163,19,55,Normal,Low,Sunday,0,Stable,No,20,Common,Low,Regional,3,Tablet,Sun Pharma,0
2021-09-13,Ibuprofen,P002,MedPlus,Dadar,Dadar East,150,30,21,Normal,Low,Monday,2,Decreasing,No,30,Common,Low,Local,5,Tablet,Cipla,0
2021-09-14,Crocin,P003,Wellness Forever,Thane,Thane West,172,30,13,Normal,Low,Tuesday,1,Decreasing,No,25,Common,Low,Regional,5,Tablet,GSK,0
2021-09-15,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,178,11,15,Normal,Low,Wednesday,2,Increasing,No,15,Common,Low,Local,5,Syrup,Dr. Reddy's,0
2021-09-16,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,172,21,14,Normal,Low,Thursday,0,Increasing,Yes,90,Rare,High,Imported,14,Capsule,Pfizer,0
2021-09-17,Amoxicillin,P002,MedPlus,Dadar,Dadar East,183,10,33,Normal,Low,Friday,2,Stable,Yes,80,Critical,High,National,14,Capsule,Abbott,0
2021-09-18,Metformin,P003,Wellness Forever,Thane,Thane West,168,13,49,Normal,Low,Saturday,1,Decreasing,Yes,45,Chronic,Medium,National,6,Tablet,Sun Pharma,0
2021-09-19,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,145,30,5,Normal,Low,Sunday,0,Stable,Yes,35,Chronic,Medium,National,5,Tablet,Cipla,0
2021-09-20,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,147,72,4,Normal,Low,Monday,0,Increasing,Yes,95,Chronic,High,National,6,Injection,Novo Nordisk,0
2021-09-21,Glimepiride,P002,MedPlus,Dadar,Dadar East,85,76,4,Normal,Low,Tuesday,0,Increasing,Yes,50,Chronic,Medium,National,6,Tablet,Lupin,0
2021-09-22,Paracetamol,P003,Wellness Forever,Thane,Thane West,131,20,59,Normal,Low,Wednesday,3,Increasing,No,20,Common,Low,Local,4,Tablet,Sun Pharma,0
2021-09-23,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,133,15,20,Normal,Low,Thursday,1,Increasing,No,30,Common,Low,Regional,5,Tablet,Cipla,0
2021-09-24,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,152,20,39,Normal,Low,Friday,3,Stable,No,25,Common,Low,Local,4,Tablet,GSK,0
2021-09-25,Cetirizine,P002,MedPlus,Dadar,Dadar East,155,26,26,Normal,Low,Saturday,2,Decreasing,No,15,Common,Low,Local,3,Syrup,Dr. Reddy's,0
2021-09-26,Azithromycin,P003,Wellness Forever,Thane,Thane West,151,10,18,Normal,Low,Sunday,2,Decreasing,Yes,90,Rare,High,Imported,11,Capsule,Pfizer,0
2021-09-27,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,167,18,50,Normal,Low,Monday,2,Decreasing,Yes,80,Critical,High,National,8,Capsule,Abbott,0
2021-09-28,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,159,23,53,Normal,Low,Tuesday,2,Stable,Yes,45,Chronic,Medium,National,7,Tablet,Sun Pharma,0
2021-09-29,Amlodipine,P002,MedPlus,Dadar,Dadar East,147,30,31,Normal,Low,Wednesday,3,Increasing,Yes,35,Chronic,Medium,National,7,Tablet,Cipla,0
2021-09-30,Insulin,P003,Wellness Forever,Thane,Thane West,114,76,47,Normal,Low,Thursday,0,Increasing,Yes,95,Chronic,High,National,5,Injection,Novo Nordisk,0
2021-10-01,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,85,82,47,Normal,Low,Friday,0,Stable,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
2021-10-02,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,168,13,60,Normal,Low,Saturday,3,Increasing,No,20,Common,Low,Local,4,Tablet,Sun Pharma,0
2021-10-03,Ibuprofen,P002,MedPlus,Dadar,Dadar East,124,17,46,Normal,Low,Sunday,3,Increasing,No,30,Common,Low,Regional,2,Tablet,Cipla,0
2021-10-04,Crocin,P003,Wellness Forever,Thane,Thane West,151,27,20,Normal,Low,Monday,0,Increasing,No,25,Common,Low,Local,3,Tablet,GSK,0
2021-10-05,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,115,24,33,Normal,Low,Tuesday,1,Increasing,No,15,Common,Low,Regional,3,Syrup,Dr. Reddy's,0
2021-10-06,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,118,22,29,Normal,Low,Wednesday,0,Increasing,Yes,90,Rare,High,Imported,15,Capsule,Pfizer,0
2021-10-07,Amoxicillin,P002,MedPlus,Dadar,Dadar East,128,20,33,Normal,Low,Thursday,1,Stable,Yes,80,Critical,High,National,10,Capsule,Abbott,0
2021-10-08,Metformin,P003,Wellness Forever,Thane,Thane West,167,19,53,Normal,Low,Friday,0,Stable,Yes,45,Chronic,Medium,National,6,Tablet,Sun Pharma,0
2021-10-09,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,136,18,6,Normal,Low,Saturday,0,Stable,Yes,35,Chronic,Medium,National,5,Tablet,Cipla,0
2021-10-10,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,123,84,40,Normal,Low,Sunday,3,Increasing,Yes,95,Chronic,High,National,6,Injection,Novo Nordisk,0
2021-10-11,Glimepiride,P002,MedPlus,Dadar,Dadar East,147,67,25,Normal,Low,Monday,2,Stable,Yes,50,Chronic,Medium,National,7,Tablet,Lupin,0
2021-10-12,Paracetamol,P003,Wellness Forever,Thane,Thane West,126,21,39,Normal,Low,Tuesday,3,Decreasing,No,20,Common,Low,Local,3,Tablet,Sun Pharma,0
2021-10-13,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,139,24,56,Normal,Low,Wednesday,2,Decreasing,No,30,Common,Low,Regional,2,Tablet,Cipla,0
2021-10-14,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,172,23,17,Normal,Low,Thursday,3,Increasing,No,25,Common,Low,Regional,4,Tablet,GSK,0
2021-10-15,Cetirizine,P002,MedPlus,Dadar,Dadar East,176,29,27,Normal,Low,Friday,0,Stable,No,15,Common,Low,Regional,2,Syrup,Dr. Reddy's,0
2021-10-16,Azithromycin,P003,Wellness Forever,Thane,Thane West,185,18,14,Normal,Low,Saturday,0,Decreasing,Yes,90,Rare,High,Imported,11,Capsule,Pfizer,0
2021-10-17,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,166,17,0,Normal,Low,Sunday,3,Decreasing,Yes,80,Critical,High,National,14,Capsule,Abbott,0
2021-10-18,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,119,10,11,Normal,Low,Monday,3,Stable,Yes,45,Chronic,Medium,National,7,Tablet,Sun Pharma,0
2021-10-19,Amlodipine,P002,MedPlus,Dadar,Dadar East,132,13,34,Normal,Low,Tuesday,2,Stable,Yes,35,Chronic,Medium,National,5,Tablet,Cipla,0
2021-10-20,Insulin,P003,Wellness Forever,Thane,Thane West,77,93,55,Normal,Low,Wednesday,3,Increasing,Yes,95,Chronic,High,National,7,Injection,Novo Nordisk,0
2021-10-21,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,88,64,30,Normal,Low,Thursday,0,Stable,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
2021-10-22,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,142,28,21,Normal,Low,Friday,0,Stable,No,20,Common,Low,Regional,5,Tablet,Sun Pharma,0
2021-10-23,Ibuprofen,P002,MedPlus,Dadar,Dadar East,188,14,14,Normal,Low,Saturday,1,Decreasing,No,30,Common,Low,Local,5,Tablet,Cipla,0
2021-10-24,Crocin,P003,Wellness Forever,Thane,Thane West,173,26,44,Normal,Low,Sunday,2,Stable,No,25,Common,Low,Local,5,Tablet,GSK,0
2021-10-25,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,147,27,25,Normal,Low,Monday,1,Stable,No,15,Common,Low,Local,5,Syrup,Dr. Reddy's,0
2021-10-26,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,115,10,39,Normal,Low,Tuesday,0,Increasing,Yes,90,Rare,High,Imported,14,Capsule,Pfizer,0
2021-10-27,Amoxicillin,P002,MedPlus,Dadar,Dadar East,129,17,35,Normal,Low,Wednesday,1,Decreasing,Yes,80,Critical,High,National,13,Capsule,Abbott,0
2021-10-28,Metformin,P003,Wellness Forever,Thane,Thane West,111,23,38,Normal,Low,Thursday,0,Decreasing,Yes,45,Chronic,Medium,National,7,Tablet,Sun Pharma,0
2021-10-29,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,184,20,28,Normal,Low,Friday,1,Stable,Yes,35,Chronic,Medium,National,5,Tablet,Cipla,0
2021-10-30,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,150,86,15,Normal,Low,Saturday,1,Stable,Yes,95,Chronic,High,National,5,Injection,Novo Nordisk,0
2021-10-31,Glimepiride,P002,MedPlus,Dadar,Dadar East,87,80,15,Normal,Low,Sunday,1,Stable,Yes,50,Chronic,Medium,National,8,Tablet,Lupin,0
2021-11-01,Paracetamol,P003,Wellness Forever,Thane,Thane West,140,27,20,Normal,Low,Monday,3,Stable,No,20,Common,Low,Regional,4,Tablet,Sun Pharma,0
2021-11-02,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,168,15,11,Normal,Low,Tuesday,3,Stable,No,30,Common,Low,Regional,2,Tablet,Cipla,0
2021-11-03,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,182,29,17,Normal,Low,Wednesday,3,Decreasing,No,25,Common,Low,Regional,4,Tablet,GSK,0
2021-11-04,Cetirizine,P002,MedPlus,Dadar,Dadar East,141,16,60,Normal,Low,Thursday,0,Stable,No,15,Common,Low,Local,4,Syrup,Dr. Reddy's,0
2021-11-05,Azithromycin,P003,Wellness Forever,Thane,Thane West,119,10,20,Normal,Low,Friday,2,Increasing,Yes,90,Rare,High,Imported,13,Capsule,Pfizer,0
2021-11-06,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,189,18,19,Normal,Low,Saturday,2,Increasing,Yes,80,Critical,High,National,14,Capsule,Abbott,0
2021-11-07,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,123,10,35,Normal,Low,Sunday,1,Stable,Yes,45,Chronic,Medium,National,8,Tablet,Sun Pharma,0
2021-11-08,Amlodipine,P002,MedPlus,Dadar,Dadar East,180,29,9,Normal,Low,Monday,1,Increasing,Yes,35,Chronic,Medium,National,8,Tablet,Cipla,0
2021-11-09,Insulin,P003,Wellness Forever,Thane,Thane West,108,87,9,Normal,Low,Tuesday,3,Increasing,Yes,95,Chronic,High,National,5,Injection,Novo Nordisk,0
2021-11-10,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,99,63,40,Normal,Low,Wednesday,2,Stable,Yes,50,Chronic,Medium,National,7,Tablet,Lupin,0
2021-11-11,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,162,19,27,Normal,Low,Thursday,3,Stable,No,20,Common,Low,Regional,2,Tablet,Sun Pharma,0
2021-11-12,Ibuprofen,P002,MedPlus,Dadar,Dadar East,178,28,3,Normal,Low,Friday,3,Decreasing,No,30,Common,Low,Local,3,Tablet,Cipla,0
2021-11-13,Crocin,P003,Wellness Forever,Thane,Thane West,137,24,55,Normal,Low,Saturday,1,Decreasing,No,25,Common,Low,Local,3,Tablet,GSK,0
2021-11-14,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,142,18,49,Normal,Low,Sunday,2,Decreasing,No,15,Common,Low,Local,4,Syrup,Dr. Reddy's,0
2021-11-15,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,163,12,20,Normal,Low,Monday,0,Increasing,Yes,90,Rare,High,Imported,10,Capsule,Pfizer,0
2021-11-16,Amoxicillin,P002,MedPlus,Dadar,Dadar East,139,22,47,Normal,Low,Tuesday,0,Stable,Yes,80,Critical,High,National,13,Capsule,Abbott,0
2021-11-17,Metformin,P003,Wellness Forever,Thane,Thane West,124,24,6,Normal,Low,Wednesday,2,Stable,Yes,45,Chronic,Medium,National,8,Tablet,Sun Pharma,0
2021-11-18,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,176,23,52,Normal,Low,Thursday,1,Increasing,Yes,35,Chronic,Medium,National,7,Tablet,Cipla,0
2021-11-19,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,94,55,31,Normal,Low,Friday,0,Decreasing,Yes,95,Chronic,High,National,7,Injection,Novo Nordisk,0
2021-11-20,Glimepiride,P002,MedPlus,Dadar,Dadar East,94,62,37,Normal,Low,Saturday,1,Stable,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
2021-11-21,Paracetamol,P003,Wellness Forever,Thane,Thane West,188,22,13,Normal,Low,Sunday,2,Decreasing,No,20,Common,Low,Local,2,Tablet,Sun Pharma,0
2021-11-22,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,178,15,9,Normal,Low,Monday,2,Decreasing,No,30,Common,Low,Local,2,Tablet,Cipla,0
2021-11-23,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,164,11,11,Normal,Low,Tuesday,3,Decreasing,No,25,Common,Low,Regional,3,Tablet,GSK,0
2021-11-24,Cetirizine,P002,MedPlus,Dadar,Dadar East,176,12,0,Normal,Low,Wednesday,1,Increasing,No,15,Common,Low,Local,5,Syrup,Dr. Reddy's,0
2021-11-25,Azithromycin,P003,Wellness Forever,Thane,Thane West,169,14,49,Normal,Low,Thursday,0,Decreasing,Yes,90,Rare,High,Imported,10,Capsule,Pfizer,0
2021-11-26,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,192,10,41,Normal,Low,Friday,2,Stable,Yes,80,Critical,High,National,13,Capsule,Abbott,0
2021-11-27,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,168,22,59,Normal,Low,Saturday,0,Stable,Yes,45,Chronic,Medium,National,6,Tablet,Sun Pharma,0
2021-11-28,Amlodipine,P002,MedPlus,Dadar,Dadar East,129,29,1,Normal,Low,Sunday,3,Decreasing,Yes,35,Chronic,Medium,National,6,Tablet,Cipla,0
2021-11-29,Insulin,P003,Wellness Forever,Thane,Thane West,116,81,7,Normal,Low,Monday,1,Decreasing,Yes,95,Chronic,High,National,6,Injection,Novo Nordisk,0
2021-11-30,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,89,79,12,Normal,Low,Tuesday,1,Increasing,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
